time,frequency,confidence
0.000,447.544,0.576020
0.010,491.480,0.439345
0.020,442.357,0.257657
0.030,494.061,0.267474
0.040,197.665,0.689063
0.050,196.367,0.293092
0.060,196.730,0.531468
0.070,492.248,0.362171
0.080,196.836,0.406062
0.090,493.030,0.496822
0.100,493.414,0.341056
0.110,493.412,0.519507
0.120,493.915,0.332734
0.130,493.482,0.354340
0.140,294.296,0.533937
0.150,294.697,0.544518
0.160,293.648,0.860082
0.170,294.803,0.671458
0.180,293.832,0.490005
0.190,221.142,0.385938
0.200,198.776,0.259804
0.210,197.928,0.361597
0.220,247.354,0.215482
0.230,294.273,0.216275
0.240,294.118,0.274800
0.250,294.020,0.436431
0.260,294.232,0.499854
0.270,294.856,0.485183
0.280,294.390,0.622771
0.290,294.750,0.787056
0.300,294.471,0.913934
0.310,295.047,0.867849
0.320,295.607,0.895263
0.330,301.204,0.228509
0.340,295.546,0.556660
0.350,294.677,0.745406
0.360,294.905,0.914586
0.370,295.054,0.871697
0.380,295.272,0.809045
0.390,295.009,0.603205
0.400,294.886,0.817943
0.410,295.263,0.606620
0.420,295.212,0.765221
0.430,295.706,0.411146
0.440,295.412,0.665572
0.450,295.905,0.573698
0.460,296.035,0.783665
0.470,296.388,0.607264
0.480,295.234,0.626345
0.490,296.067,0.521919
0.500,295.082,0.765564
0.510,295.704,0.546718
0.520,295.186,0.700989
0.530,295.496,0.618866
0.540,295.489,0.663144
0.550,296.093,0.624050
0.560,295.868,0.700717
0.570,295.674,0.460993
0.580,294.592,0.663498
0.590,490.995,0.280970
0.600,294.273,0.401137
0.610,295.129,0.514131
0.620,295.324,0.524709
0.630,295.689,0.667686
0.640,295.238,0.807615
0.650,295.032,0.728467
0.660,294.708,0.730218
0.670,294.762,0.767034
0.680,294.384,0.852766
0.690,294.748,0.870461
0.700,294.868,0.897316
0.710,294.835,0.909909
0.720,295.266,0.884357
0.730,294.843,0.898896
0.740,295.251,0.894821
0.750,294.698,0.929667
0.760,294.949,0.902277
0.770,294.345,0.909899
0.780,294.228,0.843988
0.790,294.210,0.720380
0.800,293.970,0.670267
0.810,294.026,0.712443
0.820,294.220,0.713524
0.830,294.429,0.721540
0.840,294.528,0.613042
0.850,294.227,0.659312
0.860,293.800,0.624435
0.870,293.975,0.518115
0.880,294.336,0.509150
0.890,294.135,0.638541
0.900,294.192,0.409832
0.910,294.418,0.704197
0.920,294.478,0.444410
0.930,294.716,0.740796
0.940,295.398,0.765202
0.950,295.265,0.808585
0.960,294.484,0.869102
0.970,294.590,0.835606
0.980,294.473,0.800344
0.990,294.977,0.815782
