time,frequency,confidence
0.000,329.909,0.144434
0.010,197.599,0.375041
0.020,197.461,0.514269
0.030,197.587,0.266561
0.040,197.101,0.491975
0.050,295.693,0.311869
0.060,294.983,0.265521
0.070,197.679,0.469824
0.080,196.865,0.475924
0.090,197.604,0.719558
0.100,197.281,0.459370
0.110,197.263,0.622280
0.120,295.767,0.652813
0.130,295.217,0.458941
0.140,295.527,0.563344
0.150,295.424,0.590464
0.160,197.433,0.519823
0.170,295.654,0.520034
0.180,295.274,0.632874
0.190,295.575,0.580600
0.200,295.432,0.524232
0.210,197.510,0.779731
0.220,197.445,0.704468
0.230,197.438,0.825374
0.240,197.519,0.760965
0.250,197.364,0.665209
0.260,197.297,0.837396
0.270,197.647,0.706062
0.280,197.505,0.771930
0.290,197.565,0.612013
0.300,295.778,0.443383
0.310,295.926,0.470806
0.320,295.803,0.619653
0.330,294.886,0.375149
0.340,295.752,0.420063
0.350,296.050,0.288712
0.360,197.910,0.569176
0.370,295.549,0.374242
0.380,197.576,0.537936
0.390,296.835,0.387354
0.400,296.319,0.438436
0.410,296.098,0.318743
0.420,295.576,0.521650
0.430,295.498,0.500295
0.440,197.611,0.579000
0.450,197.164,0.745060
0.460,197.278,0.858884
0.470,196.926,0.890351
0.480,197.541,0.836224
0.490,197.253,0.878385
0.500,198.156,0.872228
0.510,197.438,0.853797
0.520,197.608,0.859671
0.530,197.420,0.831427
0.540,197.350,0.873399
0.550,197.575,0.763161
0.560,197.056,0.868466
0.570,197.556,0.583217
0.580,196.678,0.646224
0.590,197.543,0.717535
0.600,196.798,0.756731
0.610,197.378,0.847745
0.620,197.023,0.866938
0.630,197.264,0.893721
0.640,197.089,0.878939
0.650,197.659,0.766240
0.660,197.995,0.759021
0.670,198.153,0.544410
0.680,197.282,0.890804
0.690,198.574,0.817146
0.700,198.079,0.846360
0.710,198.506,0.804038
0.720,197.160,0.910430
0.730,198.774,0.391031
0.740,197.673,0.277023
0.750,197.996,0.696607
0.760,197.072,0.933423
0.770,197.764,0.926149
0.780,197.224,0.963317
0.790,197.321,0.964835
0.800,196.888,0.962412
0.810,196.586,0.937415
0.820,196.569,0.922407
0.830,196.601,0.920329
0.840,196.511,0.855189
0.850,196.329,0.711826
0.860,196.391,0.565904
0.870,197.161,0.637853
0.880,294.617,0.479705
0.890,197.156,0.392769
0.900,294.457,0.336626
0.910,197.054,0.433886
0.920,295.835,0.351824
0.930,295.073,0.468105
0.940,294.519,0.349264
0.950,197.216,0.571372
0.960,294.687,0.303126
0.970,197.075,0.392117
0.980,294.133,0.456440
0.990,294.259,0.390034
1.000,294.870,0.477197
1.010,294.456,0.376369
1.020,294.969,0.559883
1.030,294.449,0.597566
1.040,295.070,0.557176
1.050,294.502,0.610399
1.060,294.819,0.515550
1.070,294.561,0.734767
1.080,294.970,0.596194
1.090,294.979,0.781897
1.100,294.922,0.705743
1.110,294.677,0.851352
1.120,295.253,0.704147
1.130,294.681,0.895470
1.140,295.205,0.741010
1.150,295.111,0.853865
1.160,295.441,0.593290
1.170,294.949,0.827330
1.180,295.089,0.602068
1.190,295.251,0.754646
1.200,295.370,0.635545
1.210,294.916,0.882887
1.220,295.404,0.573277
1.230,295.498,0.836025
1.240,295.352,0.390599
1.250,294.956,0.847771
1.260,294.992,0.582946
1.270,295.115,0.899755
1.280,295.077,0.643334
1.290,295.252,0.814524
1.300,295.341,0.488868
1.310,295.353,0.737562
1.320,295.079,0.566290
1.330,294.824,0.806597
1.340,295.066,0.612085
1.350,295.023,0.737737
1.360,294.901,0.457599
1.370,295.233,0.524819
1.380,295.352,0.488452
1.390,295.559,0.586809
1.400,295.308,0.418740
1.410,295.252,0.603880
1.420,295.185,0.515740
1.430,295.185,0.629542
1.440,294.994,0.514521
1.450,444.115,0.406943
1.460,443.658,0.477650
1.470,443.659,0.549473
1.480,443.971,0.666281
1.490,444.620,0.363637
1.500,295.475,0.427444
1.510,295.138,0.440560
1.520,295.179,0.587673
1.530,294.724,0.486867
1.540,295.343,0.619901
1.550,493.485,0.455797
1.560,295.147,0.768056
1.570,294.817,0.775827
1.580,295.173,0.846470
1.590,294.825,0.576994
1.600,294.757,0.651069
1.610,294.711,0.311806
1.620,222.875,0.344676
1.630,222.680,0.293280
1.640,223.659,0.430232
1.650,224.013,0.504974
1.660,223.463,0.456814
1.670,223.148,0.338829
1.680,295.726,0.584638
1.690,295.726,0.517368
1.700,295.311,0.820115
1.710,295.289,0.834710
1.720,295.671,0.557537
1.730,295.439,0.441794
1.740,295.188,0.472177
1.750,295.375,0.629979
1.760,295.148,0.489549
1.770,295.081,0.467048
1.780,295.118,0.381078
1.790,295.220,0.467387
1.800,295.287,0.347899
1.810,197.373,0.248784
1.820,295.113,0.342048
1.830,295.076,0.413520
1.840,197.468,0.315853
1.850,197.479,0.460965
1.860,197.363,0.620976
1.870,197.513,0.639612
1.880,197.321,0.454501
1.890,197.589,0.403948
1.900,295.092,0.474308
1.910,295.885,0.408233
1.920,295.389,0.603313
1.930,295.585,0.521377
1.940,294.969,0.724103
1.950,295.446,0.409825
1.960,197.142,0.272847
1.970,197.762,0.379798
1.980,197.316,0.449006
1.990,197.825,0.478035
2.000,197.070,0.473706
2.010,197.635,0.490061
2.020,197.041,0.637810
2.030,197.338,0.495272
2.040,197.000,0.556781
2.050,197.685,0.306662
2.060,392.544,0.494604
2.070,295.091,0.131514
2.080,391.477,0.204227
2.090,295.283,0.269300
2.100,392.295,0.469675
2.110,295.245,0.250001
2.120,391.132,0.183040
2.130,295.348,0.326966
2.140,295.094,0.195100
2.150,295.041,0.285516
2.160,391.046,0.209568
2.170,295.062,0.295607
2.180,196.635,0.234715
2.190,295.065,0.297751
2.200,197.233,0.309378
2.210,295.041,0.171757
2.220,197.296,0.357305
2.230,197.712,0.285403
2.240,197.128,0.582171
2.250,295.155,0.250122
2.260,246.834,0.122622
2.270,294.779,0.542166
2.280,197.272,0.143422
2.290,294.586,0.262363
2.300,197.210,0.569860
2.310,294.574,0.277755
2.320,197.046,0.175228
2.330,294.862,0.268229
2.340,246.686,0.317387
2.350,294.943,0.181493
2.360,391.625,0.221701
2.370,294.731,0.401802
2.380,391.086,0.202394
2.390,491.122,0.252615
2.400,392.232,0.404944
2.410,487.050,0.151120
2.420,392.610,0.365468
2.430,490.217,0.309364
2.440,392.432,0.286867
2.450,490.365,0.274206
2.460,246.873,0.202452
2.470,489.593,0.201393
2.480,392.047,0.443469
2.490,490.762,0.302178
2.500,393.748,0.473121
2.510,445.312,0.186957
2.520,197.017,0.363350
2.530,197.328,0.323558
2.540,197.214,0.448672
2.550,197.463,0.344347
2.560,197.124,0.333732
2.570,445.095,0.216503
2.580,393.982,0.370584
2.590,196.971,0.330280
2.600,294.591,0.213681
2.610,444.808,0.192702
2.620,394.617,0.251768
2.630,445.348,0.215712
2.640,442.161,0.422481
2.650,492.288,0.115882
2.660,394.629,0.407236
2.670,196.732,0.248619
2.680,443.402,0.374864
2.690,197.278,0.456339
2.700,197.558,0.703751
2.710,197.508,0.615204
2.720,197.455,0.614914
2.730,197.188,0.583948
2.740,197.548,0.432483
2.750,197.268,0.351936
2.760,442.387,0.275201
2.770,197.141,0.292921
2.780,442.783,0.529085
2.790,443.134,0.468798
2.800,442.288,0.369843
2.810,442.676,0.389866
2.820,394.517,0.293123
2.830,441.276,0.570379
2.840,394.257,0.312647
2.850,441.876,0.532304
2.860,258.549,0.193210
2.870,260.367,0.241367
2.880,261.346,0.257630
2.890,261.549,0.218315
2.900,195.224,0.202473
2.910,198.108,0.341328
2.920,196.842,0.449768
2.930,197.866,0.352490
2.940,197.259,0.263707
2.950,593.702,0.272745
2.960,391.859,0.252856
2.970,439.208,0.407405
2.980,196.776,0.205047
2.990,197.506,0.472758
3.000,196.409,0.397989
3.010,196.865,0.189021
3.020,196.770,0.376568
3.030,197.496,0.220186
3.040,197.099,0.676514
3.050,197.540,0.553221
3.060,197.391,0.531065
3.070,197.587,0.275911
3.080,197.443,0.224143
3.090,589.860,0.222680
3.100,197.644,0.474459
3.110,197.742,0.301958
3.120,197.267,0.664143
3.130,197.515,0.485431
3.140,197.394,0.764469
3.150,197.790,0.705661
3.160,197.794,0.665796
3.170,197.270,0.624186
3.180,197.461,0.823883
3.190,197.057,0.826329
3.200,197.433,0.947876
3.210,197.422,0.915449
3.220,197.496,0.927320
3.230,197.378,0.855354
3.240,197.306,0.895421
3.250,197.417,0.828655
3.260,197.674,0.689776
3.270,197.210,0.681633
3.280,197.420,0.473546
3.290,197.005,0.616635
3.300,197.648,0.690941
3.310,197.517,0.580254
3.320,590.565,0.342824
3.330,590.885,0.366469
3.340,591.131,0.439892
3.350,591.154,0.578856
3.360,590.874,0.411236
3.370,590.524,0.717029
3.380,197.351,0.363712
3.390,591.345,0.631137
3.400,492.830,0.235926
3.410,591.312,0.825984
3.420,589.884,0.343936
3.430,590.263,0.831134
3.440,589.357,0.225809
3.450,590.652,0.695914
3.460,295.737,0.383494
3.470,295.508,0.270192
3.480,295.712,0.341443
3.490,295.617,0.300490
3.500,295.504,0.203786
3.510,198.336,0.188290
3.520,295.802,0.413429
3.530,198.186,0.255054
3.540,295.240,0.672147
3.550,296.451,0.240405
3.560,296.802,0.706133
3.570,296.270,0.300644
3.580,493.045,0.170092
3.590,440.038,0.145746
3.600,197.278,0.677735
3.610,197.389,0.873614
3.620,196.954,0.890833
3.630,197.872,0.611874
3.640,592.627,0.286749
3.650,197.845,0.473162
3.660,586.741,0.607450
3.670,197.011,0.916773
3.680,197.287,0.944569
3.690,197.633,0.896007
3.700,197.557,0.887631
3.710,197.725,0.780535
3.720,197.865,0.514728
3.730,197.284,0.613477
3.740,197.404,0.585179
3.750,197.231,0.688015
3.760,197.276,0.847922
3.770,196.826,0.859424
3.780,197.323,0.942097
3.790,197.504,0.910570
3.800,197.998,0.914093
3.810,197.502,0.961228
3.820,197.462,0.971986
3.830,197.591,0.926647
3.840,197.756,0.230287
3.850,263.075,0.673424
3.860,264.950,0.301975
3.870,264.084,0.462960
3.880,197.047,0.831777
3.890,197.529,0.871658
3.900,197.303,0.907025
3.910,197.916,0.863411
3.920,197.268,0.827148
3.930,197.584,0.914504
3.940,197.056,0.721524
3.950,197.031,0.901337
3.960,196.741,0.856325
3.970,196.659,0.922851
3.980,196.811,0.858457
3.990,196.711,0.913254
4.000,196.219,0.855403
4.010,196.553,0.877517
4.020,439.179,0.122900
4.030,260.562,0.528365
4.040,258.885,0.263708
4.050,261.420,0.250228
4.060,259.335,0.149002
4.070,253.718,0.247338
4.080,441.446,0.455584
4.090,196.335,0.184183
4.100,440.813,0.229072
4.110,292.706,0.346245
4.120,293.607,0.270622
4.130,196.921,0.422948
4.140,293.742,0.278483
4.150,196.798,0.263508
4.160,197.111,0.432703
4.170,197.090,0.284360
4.180,197.269,0.266562
4.190,494.308,0.218968
4.200,196.916,0.352358
4.210,493.587,0.248932
4.220,196.760,0.294325
4.230,494.112,0.260823
4.240,295.270,0.444498
4.250,295.032,0.441997
4.260,295.577,0.601335
4.270,294.773,0.357227
4.280,295.229,0.593269
4.290,294.656,0.420104
4.300,295.347,0.485707
4.310,295.092,0.502525
4.320,295.169,0.676561
4.330,294.981,0.638686
4.340,294.977,0.629011
4.350,295.015,0.607658
4.360,294.977,0.739490
4.370,295.390,0.643312
4.380,295.114,0.668413
4.390,295.114,0.629780
4.400,294.880,0.680672
4.410,295.015,0.735593
4.420,295.072,0.616755
4.430,295.179,0.569463
4.440,295.674,0.357272
4.450,295.176,0.613175
4.460,294.953,0.736040
4.470,295.458,0.538698
4.480,294.910,0.589752
4.490,295.428,0.559668
4.500,295.258,0.517395
4.510,295.282,0.464229
4.520,295.271,0.681018
4.530,295.620,0.413384
4.540,295.414,0.666191
4.550,493.516,0.250189
4.560,295.149,0.545525
4.570,295.154,0.393543
4.580,295.021,0.641301
4.590,295.358,0.326998
4.600,295.037,0.535817
4.610,295.184,0.258403
4.620,294.633,0.446886
4.630,492.437,0.340844
4.640,294.523,0.461842
4.650,295.112,0.331234
4.660,294.796,0.506739
4.670,492.944,0.449624
4.680,294.733,0.598359
4.690,294.996,0.392276
4.700,294.487,0.789483
4.710,294.662,0.641035
4.720,294.294,0.831234
4.730,294.379,0.698710
4.740,294.558,0.747978
4.750,294.867,0.628405
4.760,294.975,0.747340
4.770,295.001,0.409044
4.780,294.425,0.784040
4.790,294.276,0.794327
4.800,293.910,0.771646
4.810,294.473,0.745029
4.820,294.377,0.741011
4.830,294.781,0.588104
4.840,295.048,0.680027
4.850,294.730,0.755884
4.860,295.490,0.664410
4.870,295.091,0.648115
4.880,295.524,0.361766
4.890,295.143,0.511283
4.900,295.192,0.721401
4.910,295.197,0.591093
4.920,295.330,0.396048
4.930,197.161,0.383247
4.940,197.683,0.404433
4.950,197.370,0.672169
4.960,197.532,0.645775
4.970,197.094,0.473348
4.980,197.374,0.426085
4.990,197.187,0.439309
5.000,197.223,0.331852
5.010,197.289,0.317651
5.020,197.257,0.634855
5.030,196.898,0.590510
5.040,197.004,0.709714
5.050,294.616,0.634762
5.060,295.161,0.469406
5.070,294.806,0.667486
5.080,295.237,0.558646
5.090,294.838,0.879468
5.100,294.680,0.897385
5.110,293.619,0.926745
5.120,293.180,0.879946
5.130,293.650,0.895250
5.140,293.399,0.680417
5.150,294.072,0.738462
5.160,293.964,0.667288
5.170,293.946,0.900413
5.180,293.819,0.578882
5.190,294.375,0.873839
5.200,197.369,0.557834
5.210,197.367,0.586040
5.220,197.321,0.681073
5.230,295.066,0.689441
5.240,196.700,0.523219
5.250,294.953,0.728338
5.260,197.559,0.443500
5.270,295.230,0.489615
5.280,197.641,0.289625
5.290,295.005,0.594395
5.300,294.470,0.237566
5.310,294.601,0.764289
5.320,197.184,0.357084
5.330,294.368,0.305655
5.340,294.904,0.394886
5.350,492.297,0.297041
5.360,491.230,0.177638
5.370,295.188,0.320841
5.380,294.941,0.285170
5.390,295.001,0.193747
5.400,294.728,0.385503
5.410,492.092,0.288619
5.420,294.597,0.331128
5.430,491.248,0.388469
5.440,492.411,0.236640
5.450,491.994,0.245206
5.460,294.319,0.239124
5.470,491.120,0.559848
5.480,294.475,0.261535
5.490,492.365,0.480471
5.500,196.744,0.478330
5.510,247.715,0.208896
5.520,292.148,0.196589
5.530,247.185,0.327057
5.540,293.167,0.429565
5.550,246.370,0.415190
5.560,293.173,0.726922
5.570,246.800,0.335245
5.580,394.224,0.234443
5.590,246.620,0.256426
5.600,197.310,0.686978
5.610,197.353,0.402598
5.620,197.916,0.745077
5.630,196.766,0.373728
5.640,197.284,0.782415
5.650,196.358,0.520364
5.660,197.491,0.803680
5.670,196.964,0.612920
5.680,197.718,0.418597
5.690,196.840,0.174877
5.700,197.407,0.219681
5.710,196.986,0.311363
5.720,197.842,0.343124
5.730,197.447,0.488363
5.740,294.730,0.212914
5.750,294.582,0.485108
5.760,294.328,0.277929
5.770,294.169,0.203032
5.780,293.598,0.186122
5.790,197.586,0.146990
5.800,293.531,0.194858
5.810,393.875,0.235998
5.820,293.371,0.149953
5.830,220.729,0.156340
5.840,196.943,0.101024
5.850,220.428,0.268517
5.860,294.183,0.251459
5.870,294.461,0.218223
5.880,293.547,0.338754
5.890,442.240,0.270560
5.900,294.491,0.327330
5.910,442.857,0.159702
5.920,293.805,0.642361
5.930,293.564,0.375605
5.940,293.765,0.804815
5.950,394.615,0.450735
5.960,393.174,0.329717
5.970,442.478,0.428187
5.980,295.018,0.614228
5.990,441.601,0.494723
6.000,294.716,0.703845
6.010,393.306,0.537343
6.020,442.785,0.522055
6.030,393.104,0.611936
6.040,443.361,0.542555
6.050,393.903,0.665339
6.060,442.369,0.354616
6.070,393.704,0.684803
6.080,442.008,0.452896
6.090,394.085,0.739476
6.100,441.590,0.353741
6.110,392.275,0.545153
6.120,198.004,0.424914
6.130,390.730,0.333255
6.140,198.035,0.409249
6.150,196.422,0.792582
6.160,198.059,0.795243
6.170,196.962,0.897251
6.180,198.063,0.759560
6.190,196.892,0.678978
6.200,198.137,0.285150
6.210,196.588,0.489994
6.220,198.025,0.702025
6.230,196.907,0.882637
6.240,198.573,0.801883
6.250,196.938,0.896717
6.260,197.899,0.784692
6.270,196.931,0.914312
6.280,197.822,0.893266
6.290,197.171,0.957022
6.300,197.756,0.913781
6.310,197.214,0.945275
6.320,197.693,0.897831
6.330,197.283,0.946369
6.340,197.732,0.924388
6.350,197.589,0.902212
6.360,197.660,0.925348
6.370,197.564,0.875451
6.380,196.681,0.938643
6.390,197.349,0.925339
6.400,197.137,0.942432
6.410,197.659,0.835392
6.420,197.043,0.906099
6.430,198.266,0.503179
6.440,197.605,0.211533
6.450,296.027,0.334910
6.460,197.035,0.535184
6.470,295.770,0.374336
6.480,294.719,0.361398
6.490,295.565,0.807203
6.500,294.618,0.618561
6.510,296.617,0.424236
6.520,294.652,0.252668
6.530,198.125,0.379728
6.540,296.099,0.242525
6.550,198.519,0.581817
6.560,295.130,0.518919
6.570,296.302,0.308129
6.580,295.665,0.377197
6.590,296.022,0.242304
6.600,295.155,0.577833
6.610,197.622,0.359787
6.620,295.415,0.667246
6.630,295.247,0.365241
6.640,295.828,0.754466
6.650,492.393,0.370845
6.660,295.332,0.451049
6.670,197.804,0.218817
6.680,295.448,0.360255
6.690,491.208,0.329728
6.700,296.131,0.666640
6.710,493.077,0.514813
6.720,294.997,0.536517
6.730,196.791,0.299197
6.740,198.746,0.650585
6.750,196.915,0.245246
6.760,197.900,0.292974
6.770,494.566,0.262309
6.780,295.528,0.245070
6.790,491.307,0.425967
6.800,197.883,0.344420
6.810,492.961,0.534141
6.820,197.994,0.226140
6.830,196.630,0.423373
6.840,197.679,0.376157
6.850,197.213,0.330060
6.860,197.404,0.557668
6.870,295.626,0.380518
6.880,196.636,0.387278
6.890,297.350,0.232700
6.900,197.004,0.596867
6.910,197.472,0.634239
6.920,196.865,0.427522
6.930,197.100,0.879717
6.940,196.850,0.912391
6.950,197.105,0.912708
6.960,196.915,0.843210
6.970,197.548,0.901557
6.980,197.277,0.933425
6.990,197.578,0.889323
7.000,196.651,0.889272
7.010,197.357,0.913372
7.020,196.640,0.919139
7.030,197.290,0.920191
7.040,196.983,0.904327
7.050,198.812,0.843267
7.060,196.601,0.782113
7.070,198.840,0.667069
7.080,196.696,0.797761
7.090,198.508,0.857382
7.100,197.042,0.914018
7.110,197.943,0.849643
7.120,195.875,0.880835
7.130,197.235,0.762036
7.140,195.900,0.345544
7.150,293.358,0.640668
7.160,293.650,0.735309
7.170,294.302,0.645696
7.180,293.714,0.583368
7.190,293.819,0.228454
7.200,293.644,0.382586
7.210,493.434,0.315071
7.220,293.629,0.870110
7.230,293.885,0.489105
7.240,293.614,0.433808
7.250,197.320,0.214041
7.260,197.691,0.569405
7.270,293.450,0.370660
7.280,293.534,0.692286
7.290,292.551,0.331882
7.300,293.486,0.440249
7.310,293.902,0.268202
7.320,295.040,0.466410
7.330,294.271,0.312665
7.340,294.071,0.537058
7.350,493.062,0.322295
7.360,294.819,0.480977
7.370,493.255,0.434673
7.380,295.071,0.545075
7.390,295.063,0.692121
7.400,295.308,0.797753
7.410,294.871,0.829273
7.420,294.876,0.687785
7.430,295.132,0.855783
7.440,294.778,0.644294
7.450,294.776,0.739760
7.460,294.486,0.716165
7.470,295.241,0.730992
7.480,294.549,0.754450
7.490,294.546,0.654182
7.500,294.638,0.667663
7.510,295.141,0.839377
7.520,295.133,0.685513
7.530,295.383,0.837958
7.540,294.983,0.641399
7.550,295.741,0.824958
7.560,294.839,0.719253
7.570,295.634,0.605669
7.580,294.795,0.786543
7.590,295.413,0.720517
7.600,295.086,0.783225
7.610,295.546,0.751602
7.620,295.190,0.464649
7.630,295.513,0.787596
7.640,294.853,0.589376
7.650,295.774,0.815408
7.660,295.071,0.647451
7.670,295.713,0.682107
7.680,295.287,0.656733
7.690,295.513,0.653274
7.700,295.843,0.402977
7.710,295.277,0.619259
7.720,295.271,0.564593
7.730,295.469,0.842487
7.740,493.509,0.530269
7.750,295.359,0.707735
7.760,294.995,0.345245
7.770,295.650,0.448961
7.780,295.081,0.328720
7.790,295.500,0.600699
7.800,295.182,0.491964
7.810,295.662,0.654467
7.820,295.458,0.489612
7.830,295.035,0.758116
7.840,294.898,0.525742
7.850,294.779,0.815441
7.860,295.080,0.694478
7.870,295.028,0.793553
7.880,295.267,0.837516
7.890,294.942,0.777768
7.900,295.694,0.876259
7.910,294.816,0.909229
7.920,295.011,0.877210
7.930,294.627,0.900887
7.940,295.094,0.869792
7.950,294.381,0.855398
7.960,295.703,0.713083
7.970,294.921,0.875154
7.980,295.740,0.782980
7.990,294.218,0.746199
8.000,296.758,0.749041
8.010,295.527,0.735477
8.020,295.358,0.654052
8.030,294.133,0.806530
8.040,294.877,0.829001
8.050,295.293,0.848735
8.060,295.246,0.769431
8.070,295.222,0.602698
8.080,295.931,0.429153
8.090,295.217,0.491444
8.100,295.177,0.334844
8.110,294.692,0.691795
8.120,295.645,0.527047
8.130,295.415,0.748501
8.140,295.493,0.412892
8.150,295.443,0.562017
8.160,295.531,0.447471
8.170,294.503,0.742359
8.180,295.397,0.503505
8.190,294.417,0.803757
8.200,296.542,0.698935
8.210,294.033,0.835824
8.220,295.483,0.771549
8.230,295.361,0.875290
8.240,295.753,0.794705
8.250,294.957,0.769872
8.260,294.899,0.617567
8.270,295.707,0.521448
8.280,295.547,0.677152
8.290,294.840,0.487627
8.300,295.719,0.706648
8.310,294.791,0.549723
8.320,295.574,0.568951
8.330,197.258,0.280404
8.340,295.161,0.523955
8.350,393.560,0.519403
