time,frequency,confidence
0.000,304.858,0.403865
0.010,409.249,0.467689
0.020,408.074,0.520572
0.030,405.746,0.395885
0.040,336.745,0.335726
0.050,404.891,0.407782
0.060,405.686,0.406334
0.070,337.380,0.302627
0.080,403.692,0.268323
0.090,337.269,0.329693
0.100,336.596,0.480408
0.110,402.176,0.330698
0.120,337.543,0.626133
0.130,337.308,0.389214
0.140,337.967,0.480384
0.150,338.663,0.355992
0.160,337.904,0.482233
0.170,339.030,0.451253
0.180,337.959,0.612612
0.190,338.315,0.310598
0.200,301.750,0.273720
0.210,338.063,0.325386
0.220,302.037,0.270552
0.230,302.495,0.355772
0.240,335.390,0.433197
0.250,336.093,0.728058
0.260,335.932,0.455440
0.270,335.713,0.416390
0.280,335.522,0.481920
0.290,335.707,0.282499
0.300,332.167,0.227070
0.310,332.623,0.247635
0.320,334.632,0.346496
0.330,333.728,0.258774
0.340,335.631,0.293871
0.350,336.581,0.494021
0.360,334.968,0.296031
0.370,334.930,0.338779
0.380,336.633,0.523408
0.390,335.586,0.474123
0.400,336.605,0.387829
0.410,337.386,0.648444
0.420,336.495,0.347245
0.430,334.874,0.395003
0.440,335.721,0.483875
0.450,333.555,0.376176
0.460,333.182,0.271002
0.470,336.111,0.758440
0.480,336.076,0.693697
0.490,335.893,0.325977
0.500,336.941,0.664020
0.510,336.579,0.723229
0.520,334.848,0.388174
0.530,336.225,0.664866
0.540,336.259,0.770498
0.550,336.568,0.423332
0.560,337.175,0.766563
0.570,336.967,0.874933
0.580,335.978,0.806522
0.590,336.083,0.847830
0.600,336.285,0.837300
0.610,403.229,0.342817
0.620,335.439,0.588710
0.630,336.376,0.657905
0.640,402.693,0.622305
0.650,335.173,0.721838
0.660,336.230,0.790489
0.670,335.660,0.616305
0.680,335.358,0.631032
0.690,336.109,0.620127
0.700,335.311,0.679565
0.710,335.164,0.724367
0.720,335.694,0.727381
0.730,335.333,0.669231
0.740,402.480,0.628271
0.750,335.324,0.701608
0.760,334.939,0.616725
0.770,403.420,0.751019
0.780,334.958,0.560552
0.790,403.085,0.584914
0.800,334.529,0.588764
0.810,334.890,0.788721
0.820,334.750,0.647935
0.830,335.157,0.692755
0.840,334.441,0.720117
0.850,334.433,0.468982
0.860,334.619,0.720244
0.870,334.429,0.800694
0.880,335.693,0.774436
0.890,335.718,0.838268
0.900,335.060,0.801395
0.910,336.153,0.529865
0.920,335.893,0.604150
0.930,335.134,0.593132
0.940,335.014,0.418296
0.950,335.018,0.556181
0.960,335.551,0.579619
0.970,334.672,0.439914
0.980,335.820,0.626103
0.990,335.430,0.586052
1.000,334.247,0.404583
1.010,335.100,0.505174
1.020,335.891,0.720741
1.030,334.498,0.560614
1.040,333.396,0.544771
1.050,335.775,0.725447
1.060,335.653,0.682225
1.070,404.189,0.709380
1.080,338.298,0.379873
1.090,404.619,0.807795
1.100,404.772,0.522778
1.110,335.550,0.804847
1.120,336.240,0.904692
1.130,336.525,0.774936
1.140,338.278,0.502958
1.150,339.416,0.815661
1.160,336.422,0.461002
1.170,336.928,0.557273
1.180,338.993,0.603762
1.190,201.881,0.562909
1.200,201.430,0.613873
1.210,675.187,0.589926
1.220,201.591,0.403958
1.230,201.054,0.482257
1.240,676.011,0.851184
1.250,673.692,0.701627
1.260,674.014,0.540877
1.270,675.231,0.849812
1.280,674.725,0.646762
1.290,201.398,0.481847
1.300,674.998,0.800849
1.310,674.919,0.560432
1.320,201.594,0.609587
1.330,675.285,0.686083
1.340,201.704,0.577814
1.350,201.747,0.691953
1.360,674.810,0.484475
1.370,676.129,0.490048
1.380,201.647,0.507043
1.390,674.954,0.198073
1.400,340.093,0.543671
1.410,337.025,0.593831
1.420,337.667,0.830915
1.430,338.140,0.903081
1.440,336.896,0.873186
1.450,337.856,0.856499
1.460,338.158,0.931762
1.470,337.300,0.852236
1.480,338.001,0.786682
1.490,337.387,0.892170
1.500,336.879,0.761844
1.510,337.620,0.633964
1.520,338.320,0.900996
1.530,338.437,0.836461
1.540,338.334,0.623910
1.550,337.577,0.875133
1.560,335.940,0.883493
1.570,335.079,0.837487
1.580,336.303,0.903189
1.590,336.279,0.920385
1.600,336.086,0.870575
1.610,336.682,0.912985
1.620,336.890,0.919448
1.630,335.054,0.846818
1.640,335.316,0.865741
1.650,335.959,0.886533
1.660,335.334,0.833929
1.670,335.830,0.888312
1.680,337.586,0.950435
1.690,337.572,0.958947
1.700,337.267,0.954973
1.710,337.096,0.947617
1.720,336.297,0.914451
1.730,335.092,0.824173
1.740,335.003,0.844317
1.750,335.059,0.848798
1.760,335.114,0.850986
1.770,335.482,0.833291
1.780,335.637,0.845621
1.790,335.045,0.853389
1.800,336.257,0.919342
1.810,336.557,0.923884
1.820,336.787,0.923648
1.830,337.487,0.955135
1.840,336.561,0.914371
1.850,335.096,0.851983
1.860,334.746,0.836891
1.870,334.918,0.850252
1.880,335.484,0.869112
1.890,335.398,0.865925
1.900,334.644,0.868569
1.910,334.232,0.868738
1.920,335.277,0.860744
1.930,336.019,0.904327
1.940,336.657,0.929247
1.950,337.005,0.942767
1.960,337.001,0.929159
1.970,337.411,0.948991
1.980,336.496,0.917026
1.990,335.713,0.946172
2.000,334.522,0.966738
2.010,334.175,0.951835
2.020,335.008,0.926418
2.030,335.754,0.873131
2.040,335.932,0.884137
2.050,335.653,0.890049
2.060,335.795,0.907271
2.070,335.274,0.858804
2.080,334.974,0.790774
2.090,334.774,0.676989
2.100,333.755,0.572794
2.110,333.874,0.640548
2.120,334.024,0.698288
2.130,332.913,0.698287
2.140,333.070,0.702315
2.150,334.184,0.491012
2.160,333.323,0.524991
2.170,333.355,0.600046
2.180,334.439,0.590783
2.190,334.445,0.746207
2.200,335.522,0.689530
2.210,335.295,0.682342
2.220,335.551,0.626490
2.230,334.252,0.687905
2.240,334.764,0.591856
2.250,333.799,0.661085
2.260,333.572,0.584538
2.270,333.654,0.483449
2.280,332.958,0.212930
2.290,333.300,0.223482
2.300,334.552,0.222772
2.310,403.721,0.268704
2.320,1622.166,0.334754
2.330,404.720,0.427173
2.340,404.929,0.469448
2.350,404.759,0.305576
2.360,404.292,0.229969
2.370,404.485,0.519525
2.380,404.875,0.281884
2.390,403.839,0.290790
2.400,333.152,0.210149
2.410,541.779,0.207493
2.420,333.969,0.240629
2.430,333.540,0.407323
2.440,333.049,0.582604
2.450,333.649,0.417779
2.460,333.645,0.479147
2.470,335.208,0.640406
2.480,335.341,0.776885
2.490,336.147,0.867334
2.500,336.390,0.879544
2.510,336.919,0.847039
2.520,337.052,0.699810
2.530,336.798,0.781224
2.540,336.481,0.851380
2.550,336.868,0.946782
2.560,337.815,0.968348
2.570,338.276,0.972325
2.580,338.572,0.968737
2.590,338.382,0.971964
2.600,337.746,0.962067
2.610,335.993,0.795930
2.620,333.433,0.645874
2.630,332.860,0.609932
2.640,332.751,0.245496
2.650,332.815,0.325665
2.660,332.627,0.467596
2.670,331.360,0.285116
2.680,330.050,0.472696
2.690,330.797,0.321684
2.700,329.308,0.333491
2.710,269.371,0.346403
2.720,329.560,0.445501
2.730,330.545,0.409781
2.740,270.568,0.684636
2.750,271.379,0.503049
2.760,330.363,0.326561
2.770,330.915,0.426700
2.780,332.530,0.424569
2.790,332.925,0.392437
2.800,270.731,0.380195
2.810,332.019,0.359172
2.820,539.888,0.363376
2.830,334.039,0.342698
2.840,334.765,0.534458
2.850,335.470,0.787850
2.860,335.999,0.890005
2.870,335.896,0.874968
2.880,336.371,0.929239
2.890,336.724,0.948533
2.900,336.846,0.955067
2.910,336.858,0.951920
2.920,337.355,0.969272
2.930,337.326,0.966647
2.940,337.121,0.966511
2.950,337.473,0.970377
2.960,337.764,0.974240
2.970,338.135,0.977510
2.980,338.511,0.977670
2.990,338.324,0.979725
3.000,338.101,0.981994
3.010,337.674,0.976732
3.020,337.277,0.965655
3.030,338.413,0.975770
3.040,337.679,0.972934
3.050,337.794,0.977062
3.060,338.282,0.977187
3.070,337.506,0.971660
3.080,337.344,0.967343
3.090,338.090,0.974389
3.100,337.298,0.963194
3.110,337.785,0.970266
3.120,337.158,0.967934
3.130,336.162,0.940059
3.140,336.285,0.911225
3.150,334.977,0.731720
3.160,334.188,0.654359
3.170,334.473,0.598406
