time,frequency,confidence
0.000,1342.463,0.170333
0.010,1330.489,0.024525
0.020,1320.353,0.359945
0.030,1327.420,0.079832
0.040,1360.745,0.122667
0.050,1353.751,0.165093
0.060,1339.750,0.027704
0.070,1329.846,0.288444
0.080,1336.573,0.107511
0.090,582.082,0.047997
0.100,219.047,0.259832
0.110,214.476,0.511860
0.120,210.059,0.397306
0.130,206.319,0.395678
0.140,205.205,0.243890
0.150,206.534,0.198568
0.160,208.601,0.302877
0.170,207.690,0.513351
0.180,206.893,0.526353
0.190,206.016,0.446610
0.200,208.361,0.143032
0.210,213.502,0.150774
0.220,211.457,0.324680
0.230,202.595,0.062057
0.240,197.529,0.079166
0.250,197.093,0.547857
0.260,198.167,0.755790
0.270,197.905,0.758967
0.280,197.318,0.731252
0.290,195.471,0.233524
0.300,195.346,0.151524
0.310,194.579,0.090362
0.320,196.428,0.653021
0.330,196.184,0.718560
0.340,196.278,0.328920
0.350,252.795,0.268661
0.360,258.638,0.007589
0.370,259.562,0.153572
0.380,258.041,0.018819
0.390,255.933,0.055799
0.400,257.664,0.089773
0.410,258.572,0.123915
0.420,258.978,0.023073
0.430,259.206,0.015908
0.440,258.813,0.007083
0.450,258.921,0.006948
0.460,259.783,0.013212
0.470,260.579,0.024891
0.480,263.203,0.088398
0.490,269.086,0.226039
0.500,273.275,0.476927
0.510,271.394,0.340274
0.520,275.521,0.585642
0.530,279.188,0.544523
0.540,278.983,0.163631
0.550,274.405,0.103393
0.560,268.413,0.194262
0.570,265.418,0.151491
0.580,262.475,0.315948
0.590,258.655,0.240630
0.600,253.930,0.247529
0.610,193.017,0.546594
0.620,194.572,0.636070
0.630,198.211,0.523605
0.640,202.064,0.189394
0.650,227.254,0.136768
0.660,227.066,0.403067
0.670,226.594,0.687933
0.680,223.687,0.214244
0.690,224.710,0.198556
0.700,225.101,0.270225
0.710,225.171,0.055765
0.720,197.919,0.057362
0.730,196.236,0.258893
0.740,196.056,0.024129
0.750,195.782,0.064299
0.760,199.759,0.434331
0.770,200.730,0.560230
0.780,201.184,0.496029
0.790,200.194,0.489616
0.800,200.145,0.374047
0.810,200.050,0.215118
0.820,200.506,0.128698
0.830,199.903,0.074539
0.840,199.886,0.063114
0.850,200.831,0.066888
0.860,201.808,0.044315
0.870,202.440,0.063116
0.880,200.398,0.120369
0.890,197.139,0.225559
0.900,195.329,0.002886
0.910,195.564,0.142225
0.920,195.943,0.085716
0.930,194.350,0.064159
0.940,200.402,0.107578
0.950,223.735,0.424928
0.960,224.141,0.061575
0.970,223.967,0.639125
0.980,224.677,0.487357
0.990,225.634,0.080529
1.000,200.532,0.145014
1.010,199.450,0.343360
1.020,198.233,0.570689
1.030,197.115,0.501282
1.040,196.640,0.757176
1.050,196.966,0.629872
1.060,197.743,0.323652
1.070,197.678,0.150653
1.080,195.779,0.196225
1.090,196.211,0.285174
1.100,194.490,0.057628
1.110,195.751,0.071704
1.120,196.660,0.158610
1.130,199.047,0.314540
1.140,206.762,0.126091
1.150,208.725,0.326888
1.160,207.757,0.416905
1.170,207.406,0.375951
1.180,207.909,0.324641
1.190,207.473,0.287426
1.200,205.257,0.194761
1.210,202.902,0.189018
1.220,200.519,0.383317
1.230,201.027,0.374510
1.240,201.783,0.501018
1.250,202.441,0.692985
1.260,202.028,0.733029
1.270,199.801,0.896052
1.280,197.995,0.875150
1.290,197.719,0.849225
1.300,198.470,0.751600
1.310,201.272,0.356382
1.320,208.235,0.345859
1.330,207.581,0.066056
1.340,198.945,0.089501
1.350,195.144,0.064905
1.360,194.954,0.175968
1.370,197.265,0.668818
1.380,196.238,0.702135
1.390,195.393,0.742640
1.400,194.419,0.181411
1.410,194.606,0.193722
1.420,192.716,0.208262
1.430,194.041,0.000097
1.440,194.945,0.000166
1.450,198.340,0.006050
1.460,202.253,0.017927
1.470,210.075,0.279402
1.480,208.916,0.721927
1.490,207.051,0.711080
1.500,200.393,0.457533
1.510,196.965,0.826812
1.520,194.628,0.632352
1.530,193.627,0.457215
1.540,191.947,0.143391
1.550,193.773,0.347073
1.560,195.464,0.133102
1.570,260.397,0.218824
1.580,257.786,0.141012
1.590,253.170,0.301999
1.600,256.410,0.111876
1.610,251.877,0.166201
1.620,247.076,0.339352
1.630,247.920,0.589764
1.640,246.186,0.622553
1.650,247.514,0.666220
1.660,247.027,0.658932
1.670,248.340,0.171284
1.680,488.351,0.095071
1.690,491.404,0.217784
1.700,493.602,0.507314
1.710,494.556,0.387210
1.720,493.695,0.540742
1.730,496.177,0.208387
1.740,496.550,0.535389
1.750,251.093,0.148888
1.760,253.545,0.158627
1.770,257.849,0.340041
1.780,262.446,0.485370
1.790,198.505,0.474642
1.800,198.530,0.809095
1.810,198.504,0.912534
1.820,199.170,0.952916
1.830,199.228,0.975242
1.840,198.956,0.974085
1.850,199.209,0.962119
1.860,198.986,0.946379
1.870,198.914,0.939704
1.880,198.792,0.933660
1.890,198.488,0.896498
