time,frequency,confidence
0.000,219.291,0.000041
0.010,222.272,0.002665
0.020,219.140,0.000024
0.030,219.850,0.001605
0.040,222.002,0.000563
0.050,222.400,0.004561
0.060,219.000,0.000671
0.070,218.317,0.000001
0.080,220.161,0.000015
0.090,223.162,0.241929
0.100,219.417,0.356963
0.110,214.698,0.521538
0.120,210.059,0.397306
0.130,206.027,0.448219
0.140,205.205,0.243890
0.150,206.534,0.198568
0.160,208.964,0.334478
0.170,207.853,0.550677
0.180,206.893,0.526353
0.190,206.016,0.446610
0.200,206.211,0.165101
0.210,215.259,0.251464
0.220,212.095,0.471979
0.230,216.809,0.236593
0.240,217.443,0.222339
0.250,197.093,0.547857
0.260,198.268,0.766946
0.270,197.905,0.758967
0.280,197.318,0.731252
0.290,195.471,0.233524
0.300,195.439,0.136369
0.310,194.671,0.064453
0.320,196.428,0.653021
0.330,196.184,0.718560
0.340,196.278,0.328920
0.350,223.036,0.002635
0.360,244.316,0.000048
0.370,259.562,0.153572
0.380,257.537,0.016363
0.390,254.392,0.077659
0.400,257.289,0.076959
0.410,258.572,0.123915
0.420,259.929,0.019488
0.430,261.136,0.005857
0.440,263.136,0.001911
0.450,263.933,0.001967
0.460,264.791,0.005702
0.470,265.569,0.010603
0.480,267.078,0.067854
0.490,269.086,0.226039
0.500,274.072,0.488231
0.510,270.337,0.415754
0.520,275.521,0.585642
0.530,279.188,0.544523
0.540,278.983,0.163631
0.550,292.203,0.196565
0.560,268.413,0.194262
0.570,293.351,0.236516
0.580,262.475,0.315948
0.590,258.025,0.242222
0.600,252.934,0.328136
0.610,219.951,0.000275
0.620,194.572,0.636070
0.630,198.211,0.523605
0.640,202.930,0.263402
0.650,227.254,0.136768
0.660,227.066,0.403067
0.670,226.594,0.687933
0.680,223.687,0.214244
0.690,224.170,0.055089
0.700,223.202,0.022595
0.710,217.484,0.000970
0.720,199.093,0.012294
0.730,196.236,0.258893
0.740,196.056,0.024129
0.750,195.712,0.079680
0.760,199.759,0.434331
0.770,200.930,0.688505
0.780,201.184,0.496029
0.790,200.194,0.489616
0.800,200.145,0.374047
0.810,200.050,0.215118
0.820,219.462,0.176829
0.830,220.691,0.269937
0.840,221.111,0.223211
0.850,220.019,0.281173
0.860,219.136,0.217261
0.870,218.733,0.233249
0.880,219.243,0.133388
0.890,219.262,0.022424
0.900,218.649,0.000606
0.910,214.122,0.003466
0.920,206.287,0.001791
0.930,202.383,0.001004
0.940,200.937,0.136446
0.950,223.735,0.424928
0.960,224.141,0.061575
0.970,223.967,0.639125
0.980,224.677,0.487357
0.990,213.791,0.021990
1.000,200.532,0.145014
1.010,199.450,0.343360
1.020,198.233,0.570689
1.030,197.115,0.501282
1.040,196.640,0.757176
1.050,196.966,0.629872
1.060,197.743,0.323652
1.070,197.787,0.162502
1.080,195.779,0.196225
1.090,196.242,0.323039
1.100,194.956,0.027751
1.110,195.883,0.064910
1.120,196.721,0.164921
1.130,199.047,0.314540
1.140,210.293,0.210249
1.150,208.949,0.434412
1.160,208.023,0.422065
1.170,207.406,0.375951
1.180,207.909,0.324641
1.190,207.473,0.287426
1.200,206.026,0.222396
1.210,202.181,0.204753
1.220,200.519,0.383317
1.230,201.027,0.374510
1.240,201.783,0.501018
1.250,202.441,0.692985
1.260,202.028,0.733029
1.270,199.801,0.896052
1.280,197.995,0.875150
1.290,197.681,0.868925
1.300,198.367,0.757950
1.310,200.872,0.459214
1.320,208.531,0.460986
1.330,215.919,0.201075
1.340,222.359,0.273519
1.350,227.337,0.217793
1.360,214.283,0.022009
1.370,197.265,0.668818
1.380,196.238,0.702135
1.390,195.393,0.742640
1.400,194.419,0.181411
1.410,194.606,0.193722
1.420,192.716,0.208262
1.430,195.391,0.000056
1.440,203.039,0.000004
1.450,215.176,0.000866
1.460,218.260,0.077558
1.470,210.652,0.464495
1.480,208.916,0.721927
1.490,207.159,0.722063
1.500,200.102,0.554379
1.510,196.965,0.826812
1.520,194.628,0.632352
1.530,193.627,0.457215
1.540,201.577,0.000250
1.550,225.902,0.016879
1.560,251.881,0.005936
1.570,261.464,0.223777
1.580,261.528,0.165902
1.590,252.570,0.331567
1.600,256.410,0.111876
1.610,254.021,0.177740
1.620,246.538,0.403462
1.630,247.920,0.589764
1.640,246.095,0.734013
1.650,247.514,0.666220
1.660,247.027,0.658932
1.670,249.068,0.180096
1.680,249.356,0.005732
1.690,250.773,0.002296
1.700,249.083,0.007121
1.710,250.293,0.006743
1.720,249.660,0.011152
1.730,252.093,0.005811
1.740,250.767,0.005743
1.750,250.703,0.184628
1.760,252.312,0.218602
1.770,257.283,0.340339
1.780,223.313,0.013116
1.790,198.505,0.474642
1.800,198.530,0.809095
1.810,198.504,0.912534
1.820,199.170,0.952916
1.830,199.228,0.975242
1.840,198.956,0.974085
1.850,199.209,0.962119
1.860,198.986,0.946379
1.870,198.914,0.939704
1.880,198.792,0.933660
1.890,198.488,0.896498
1.900,198.516,0.890943
1.910,198.282,0.836869
1.920,197.376,0.893588
1.930,196.197,0.725872
1.940,196.647,0.676293
1.950,197.145,0.676223
1.960,197.687,0.689902
1.970,196.653,0.598804
1.980,195.124,0.070283
1.990,195.507,0.324452
2.000,200.405,0.405472
2.010,205.473,0.608170
2.020,207.333,0.585111
2.030,211.277,0.371038
2.040,217.802,0.398979
2.050,214.483,0.330085
2.060,219.199,0.401893
2.070,221.695,0.424541
2.080,250.568,0.263204
2.090,261.423,0.242576
2.100,260.644,0.040564
2.110,259.987,0.017999
2.120,259.541,0.004792
2.130,261.114,0.043737
2.140,259.409,0.033487
2.150,264.159,0.054274
2.160,250.441,0.003355
2.170,226.389,0.020396
2.180,213.276,0.203600
2.190,210.986,0.194790
2.200,208.575,0.367541
2.210,206.784,0.543340
2.220,205.445,0.591779
2.230,202.811,0.396400
2.240,201.634,0.403692
2.250,219.676,0.258206
2.260,220.198,0.552946
2.270,215.697,0.264504
2.280,208.847,0.415841
2.290,207.494,0.432656
2.300,207.717,0.231879
2.310,216.017,0.179969
2.320,221.286,0.315119
2.330,222.303,0.349190
2.340,222.278,0.446260
2.350,220.318,0.351130
2.360,206.031,0.005582
2.370,197.831,0.364618
2.380,197.533,0.351314
2.390,199.296,0.273930
2.400,197.890,0.302311
2.410,196.770,0.081794
2.420,195.560,0.002178
2.430,200.424,0.000001
2.440,206.785,0.000006
2.450,213.298,0.000025
2.460,216.661,0.000206
2.470,218.316,0.001637
2.480,215.548,0.009200
2.490,216.932,0.010878
2.500,217.499,0.021065
2.510,218.542,0.012707
2.520,216.723,0.157688
2.530,220.273,0.094298
2.540,219.072,0.328402
2.550,220.415,0.469643
2.560,219.064,0.311835
2.570,216.877,0.259532
2.580,219.572,0.240486
2.590,220.670,0.438731
2.600,216.542,0.202812
2.610,202.035,0.348272
2.620,201.073,0.328389
2.630,200.804,0.210532
2.640,205.779,0.012353
2.650,216.422,0.002803
2.660,218.559,0.007725
2.670,220.114,0.010822
2.680,221.214,0.014104
2.690,221.394,0.230265
2.700,221.087,0.736222
2.710,221.612,0.863373
2.720,221.878,0.826960
2.730,220.374,0.517810
2.740,219.320,0.030546
2.750,208.227,0.013672
2.760,198.476,0.296986
2.770,224.587,0.123877
2.780,222.539,0.438214
2.790,224.567,0.242822
2.800,224.801,0.394657
2.810,222.896,0.419814
2.820,221.562,0.653060
2.830,220.742,0.358055
2.840,215.553,0.525248
2.850,215.119,0.374149
2.860,213.667,0.360075
2.870,218.442,0.423562
2.880,221.478,0.495750
2.890,221.107,0.700574
2.900,221.800,0.728757
2.910,221.483,0.263668
2.920,221.176,0.306079
2.930,199.995,0.440042
2.940,199.735,0.635377
2.950,197.995,0.648549
2.960,224.249,0.461475
2.970,227.227,0.424853
2.980,231.731,0.522558
2.990,224.118,0.404294
3.000,198.605,0.338339
3.010,200.185,0.351489
3.020,201.946,0.185974
3.030,199.280,0.310262
3.040,217.838,0.010142
3.050,223.885,0.004253
3.060,254.219,0.004800
3.070,265.005,0.519486
3.080,270.243,0.339757
3.090,254.325,0.013124
3.100,226.404,0.251279
3.110,220.662,0.011139
3.120,199.707,0.824902
3.130,199.541,0.791482
3.140,199.586,0.659916
3.150,201.168,0.199212
3.160,201.279,0.180507
